Date,Open,High,Low,Close
12/18/2025,"66,570.04","66,570.04","66,570.04","66,570.04"
12/17/2025,"66,055.67","66,055.67","66,055.67","66,055.67"
12/16/2025,"66,818.51","66,818.51","66,818.51","66,818.51"
12/15/2025,"66,984.63","66,984.63","66,984.63","66,984.63"
12/12/2025,"67,152.81","67,152.81","67,152.81","67,152.81"
12/11/2025,"67,908.66","67,908.66","67,908.66","67,908.66"
12/10/2025,"67,728.88","67,728.88","67,728.88","67,728.88"
12/09/2025,"67,221.95","67,221.95","67,221.95","67,221.95"
12/08/2025,"67,260.94","67,260.94","67,260.94","67,260.94"
12/05/2025,"67,500.77","67,500.77","67,500.77","67,500.77"
12/04/2025,"67,394.81","67,394.81","67,394.81","67,394.81"
12/03/2025,"67,282.10","67,282.10","67,282.10","67,282.10"
12/02/2025,"66,965.48","66,965.48","66,965.48","66,965.48"
12/01/2025,"66,829.48","66,829.48","66,829.48","66,829.48"
11/28/2025,"67,209.92","67,209.92","67,209.92","67,209.92"
11/26/2025,"66,836.88","66,836.88","66,836.88","66,836.88"
11/25/2025,"66,367.33","66,367.33","66,367.33","66,367.33"
11/24/2025,"65,672.15","65,672.15","65,672.15","65,672.15"
11/21/2025,"64,664.32","64,664.32","64,664.32","64,664.32"
11/20/2025,"63,968.09","63,968.09","63,968.09","63,968.09"
11/19/2025,"64,998.92","64,998.92","64,998.92","64,998.92"
11/18/2025,"64,786.03","64,786.03","64,786.03","64,786.03"
11/17/2025,"65,244.75","65,244.75","65,244.75","65,244.75"
11/14/2025,"65,925.07","65,925.07","65,925.07","65,925.07"
11/13/2025,"65,970.76","65,970.76","65,970.76","65,970.76"
11/12/2025,"67,175.62","67,175.62","67,175.62","67,175.62"
11/11/2025,"67,159.19","67,159.19","67,159.19","67,159.19"
11/10/2025,"67,031.65","67,031.65","67,031.65","67,031.65"
11/07/2025,"66,071.82","66,071.82","66,071.82","66,071.82"
11/06/2025,"65,931.65","65,931.65","65,931.65","65,931.65"
11/05/2025,"66,719.26","66,719.26","66,719.26","66,719.26"
11/04/2025,"66,411.26","66,411.26","66,411.26","66,411.26"
11/03/2025,"67,257.00","67,257.00","67,257.00","67,257.00"
10/31/2025,"67,195.06","67,195.06","67,195.06","67,195.06"
10/30/2025,"66,926.56","66,926.56","66,926.56","66,926.56"
10/29/2025,"67,617.02","67,617.02","67,617.02","67,617.02"
10/28/2025,"67,691.20","67,691.20","67,691.20","67,691.20"
10/27/2025,"67,639.68","67,639.68","67,639.68","67,639.68"
10/24/2025,"66,882.57","66,882.57","66,882.57","66,882.57"
10/23/2025,"66,358.19","66,358.19","66,358.19","66,358.19"
10/22/2025,"65,899.92","65,899.92","65,899.92","65,899.92"
10/21/2025,"66,336.48","66,336.48","66,336.48","66,336.48"
10/20/2025,"66,340.47","66,340.47","66,340.47","66,340.47"
10/17/2025,"65,625.86","65,625.86","65,625.86","65,625.86"
10/16/2025,"65,372.15","65,372.15","65,372.15","65,372.15"
10/15/2025,"65,874.99","65,874.99","65,874.99","65,874.99"
10/14/2025,"65,591.77","65,591.77","65,591.77","65,591.77"
10/13/2025,"65,593.38","65,593.38","65,593.38","65,593.38"
10/10/2025,"64,525.21","64,525.21","64,525.21","64,525.21"
10/09/2025,"66,336.76","66,336.76","66,336.76","66,336.76"
10/08/2025,"66,547.49","66,547.49","66,547.49","66,547.49"
10/07/2025,"66,112.61","66,112.61","66,112.61","66,112.61"
10/06/2025,"66,443.89","66,443.89","66,443.89","66,443.89"
10/03/2025,"66,190.20","66,190.20","66,190.20","66,190.20"
10/02/2025,"66,161.01","66,161.01","66,161.01","66,161.01"
10/01/2025,"66,073.28","66,073.28","66,073.28","66,073.28"
09/30/2025,"65,857.09","65,857.09","65,857.09","65,857.09"
09/29/2025,"65,653.95","65,653.95","65,653.95","65,653.95"
09/26/2025,"65,474.44","65,474.44","65,474.44","65,474.44"
09/25/2025,"65,072.36","65,072.36","65,072.36","65,072.36"
09/24/2025,"65,459.65","65,459.65","65,459.65","65,459.65"
09/23/2025,"65,696.65","65,696.65","65,696.65","65,696.65"
09/22/2025,"66,068.97","66,068.97","66,068.97","66,068.97"
09/19/2025,"65,788.04","65,788.04","65,788.04","65,788.04"
09/18/2025,"65,535.87","65,535.87","65,535.87","65,535.87"
09/17/2025,"65,137.91","65,137.91","65,137.91","65,137.91"
09/16/2025,"65,186.13","65,186.13","65,186.13","65,186.13"
09/15/2025,"65,254.58","65,254.58","65,254.58","65,254.58"
09/12/2025,"64,948.63","64,948.63","64,948.63","64,948.63"
09/11/2025,"65,061.26","65,061.26","65,061.26","65,061.26"
09/10/2025,"64,468.80","64,468.80","64,468.80","64,468.80"
09/09/2025,"64,236.52","64,236.52","64,236.52","64,236.52"
09/08/2025,"64,113.27","64,113.27","64,113.27","64,113.27"
09/05/2025,"63,941.57","63,941.57","63,941.57","63,941.57"
09/04/2025,"64,064.92","64,064.92","64,064.92","64,064.92"
09/03/2025,"63,505.28","63,505.28","63,505.28","63,505.28"
09/02/2025,"63,236.72","63,236.72","63,236.72","63,236.72"
08/29/2025,"63,645.32","63,645.32","63,645.32","63,645.32"
08/28/2025,"64,058.37","64,058.37","64,058.37","64,058.37"
08/27/2025,"63,829.92","63,829.92","63,829.92","63,829.92"
08/26/2025,"63,657.44","63,657.44","63,657.44","63,657.44"
08/25/2025,"63,372.40","63,372.40","63,372.40","63,372.40"
08/22/2025,"63,667.90","63,667.90","63,667.90","63,667.90"
08/21/2025,"62,592.13","62,592.13","62,592.13","62,592.13"
08/20/2025,"62,821.66","62,821.66","62,821.66","62,821.66"
08/19/2025,"62,974.73","62,974.73","62,974.73","62,974.73"
08/18/2025,"63,377.49","63,377.49","63,377.49","63,377.49"
08/15/2025,"63,349.11","63,349.11","63,349.11","63,349.11"
08/14/2025,"63,523.24","63,523.24","63,523.24","63,523.24"
08/13/2025,"63,596.67","63,596.67","63,596.67","63,596.67"
08/12/2025,"63,324.10","63,324.10","63,324.10","63,324.10"
08/11/2025,"62,537.92","62,537.92","62,537.92","62,537.92"
08/08/2025,"62,687.45","62,687.45","62,687.45","62,687.45"
08/07/2025,"62,280.02","62,280.02","62,280.02","62,280.02"
08/06/2025,"62,346.67","62,346.67","62,346.67","62,346.67"
08/05/2025,"61,930.22","61,930.22","61,930.22","61,930.22"
08/04/2025,"62,190.71","62,190.71","62,190.71","62,190.71"
08/01/2025,"61,258.28","61,258.28","61,258.28","61,258.28"
07/31/2025,"62,304.21","62,304.21","62,304.21","62,304.21"
07/30/2025,"62,540.85","62,540.85","62,540.85","62,540.85"
07/29/2025,"62,631.27","62,631.27","62,631.27","62,631.27"
07/28/2025,"62,840.79","62,840.79","62,840.79","62,840.79"
07/25/2025,"62,842.21","62,842.21","62,842.21","62,842.21"
07/24/2025,"62,574.18","62,574.18","62,574.18","62,574.18"
07/23/2025,"62,595.88","62,595.88","62,595.88","62,595.88"
07/22/2025,"62,085.65","62,085.65","62,085.65","62,085.65"
07/21/2025,"61,996.95","61,996.95","61,996.95","61,996.95"
07/18/2025,"61,964.76","61,964.76","61,964.76","61,964.76"
07/17/2025,"61,972.07","61,972.07","61,972.07","61,972.07"
07/16/2025,"61,590.67","61,590.67","61,590.67","61,590.67"
07/15/2025,"61,343.79","61,343.79","61,343.79","61,343.79"
07/14/2025,"61,679.62","61,679.62","61,679.62","61,679.62"
07/11/2025,"61,532.10","61,532.10","61,532.10","61,532.10"
07/10/2025,"61,793.38","61,793.38","61,793.38","61,793.38"
07/09/2025,"61,635.27","61,635.27","61,635.27","61,635.27"
07/08/2025,"61,253.45","61,253.45","61,253.45","61,253.45"
07/07/2025,"61,282.61","61,282.61","61,282.61","61,282.61"
07/03/2025,"61,795.33","61,795.33","61,795.33","61,795.33"
07/02/2025,"61,269.20","61,269.20","61,269.20","61,269.20"
07/01/2025,"60,920.57","60,920.57","60,920.57","60,920.57"
06/30/2025,"60,950.81","60,950.81","60,950.81","60,950.81"
06/27/2025,"60,644.31","60,644.31","60,644.31","60,644.31"
06/26/2025,"60,356.97","60,356.97","60,356.97","60,356.97"
06/25/2025,"59,828.23","59,828.23","59,828.23","59,828.23"
06/24/2025,"59,912.81","59,912.81","59,912.81","59,912.81"
06/23/2025,"59,217.28","59,217.28","59,217.28","59,217.28"
06/20/2025,"58,657.98","58,657.98","58,657.98","58,657.98"
06/18/2025,"58,795.34","58,795.34","58,795.34","58,795.34"
06/17/2025,"58,766.50","58,766.50","58,766.50","58,766.50"
06/16/2025,"59,270.11","59,270.11","59,270.11","59,270.11"
06/13/2025,"58,701.65","58,701.65","58,701.65","58,701.65"
06/12/2025,"59,392.40","59,392.40","59,392.40","59,392.40"
06/11/2025,"59,208.22","59,208.22","59,208.22","59,208.22"
06/10/2025,"59,381.92","59,381.92","59,381.92","59,381.92"
06/09/2025,"59,076.70","59,076.70","59,076.70","59,076.70"
06/06/2025,"59,012.20","59,012.20","59,012.20","59,012.20"
06/05/2025,"58,387.92","58,387.92","58,387.92","58,387.92"
06/04/2025,"58,668.85","58,668.85","58,668.85","58,668.85"
06/03/2025,"58,661.89","58,661.89","58,661.89","58,661.89"
06/02/2025,"58,264.66","58,264.66","58,264.66","58,264.66"
05/30/2025,"58,043.51","58,043.51","58,043.51","58,043.51"
05/29/2025,"58,056.34","58,056.34","58,056.34","58,056.34"
05/28/2025,"57,849.40","57,849.40","57,849.40","57,849.40"
05/27/2025,"58,194.25","58,194.25","58,194.25","58,194.25"
05/23/2025,"57,001.07","57,001.07","57,001.07","57,001.07"
05/22/2025,"57,355.48","57,355.48","57,355.48","57,355.48"
05/21/2025,"57,353.78","57,353.78","57,353.78","57,353.78"
05/20/2025,"58,380.54","58,380.54","58,380.54","58,380.54"
05/19/2025,"58,594.37","58,594.37","58,594.37","58,594.37"
05/16/2025,"58,576.28","58,576.28","58,576.28","58,576.28"
05/15/2025,"58,138.24","58,138.24","58,138.24","58,138.24"
05/14/2025,"57,944.83","57,944.83","57,944.83","57,944.83"
05/13/2025,"57,908.92","57,908.92","57,908.92","57,908.92"
05/12/2025,"57,469.22","57,469.22","57,469.22","57,469.22"
05/09/2025,"55,626.90","55,626.90","55,626.90","55,626.90"
05/08/2025,"55,666.06","55,666.06","55,666.06","55,666.06"
05/07/2025,"55,254.56","55,254.56","55,254.56","55,254.56"
05/06/2025,"55,032.44","55,032.44","55,032.44","55,032.44"
05/05/2025,"55,474.91","55,474.91","55,474.91","55,474.91"
05/02/2025,"55,803.06","55,803.06","55,803.06","55,803.06"
05/01/2025,"54,934.62","54,934.62","54,934.62","54,934.62"
04/30/2025,"54,606.98","54,606.98","54,606.98","54,606.98"
04/29/2025,"54,571.11","54,571.11","54,571.11","54,571.11"
04/28/2025,"54,247.30","54,247.30","54,247.30","54,247.30"
04/25/2025,"54,185.59","54,185.59","54,185.59","54,185.59"
04/24/2025,"53,847.25","53,847.25","53,847.25","53,847.25"
04/23/2025,"52,734.13","52,734.13","52,734.13","52,734.13"
04/22/2025,"51,843.40","51,843.40","51,843.40","51,843.40"
04/21/2025,"50,551.61","50,551.61","50,551.61","50,551.61"
04/17/2025,"51,781.64","51,781.64","51,781.64","51,781.64"
04/16/2025,"51,643.93","51,643.93","51,643.93","51,643.93"
04/15/2025,"52,761.24","52,761.24","52,761.24","52,761.24"
04/11/2025,"52,390.21","52,390.21","52,390.21","52,390.21"
04/10/2025,"51,483.93","51,483.93","51,483.93","51,483.93"
04/09/2025,"53,387.60","53,387.60","53,387.60","53,387.60"
04/08/2025,"48,710.29","48,710.29","48,710.29","48,710.29"
04/07/2025,"49,550.91","49,550.91","49,550.91","49,550.91"
04/04/2025,"49,687.70","49,687.70","49,687.70","49,687.70"
04/03/2025,"52,792.89","52,792.89","52,792.89","52,792.89"
04/02/2025,"55,640.71","55,640.71","55,640.71","55,640.71"
04/01/2025,"55,180.63","55,180.63","55,180.63","55,180.63"
03/31/2025,"54,955.22","54,955.22","54,955.22","54,955.22"
03/28/2025,"54,723.72","54,723.72","54,723.72","54,723.72"
03/27/2025,"55,848.37","55,848.37","55,848.37","55,848.37"
03/26/2025,"56,082.65","56,082.65","56,082.65","56,082.65"
03/25/2025,"56,749.38","56,749.38","56,749.38","56,749.38"
03/24/2025,"56,706.15","56,706.15","56,706.15","56,706.15"
03/21/2025,"55,620.02","55,620.02","55,620.02","55,620.02"
03/20/2025,"55,592.71","55,592.71","55,592.71","55,592.71"
03/19/2025,"55,736.72","55,736.72","55,736.72","55,736.72"
03/18/2025,"55,087.32","55,087.32","55,087.32","55,087.32"
03/17/2025,"55,696.41","55,696.41","55,696.41","55,696.41"
03/14/2025,"55,270.78","55,270.78","55,270.78","55,270.78"
03/13/2025,"54,081.73","54,081.73","54,081.73","54,081.73"
03/12/2025,"54,889.14","54,889.14","54,889.14","54,889.14"
03/11/2025,"54,617.27","54,617.27","54,617.27","54,617.27"
03/10/2025,"54,964.86","54,964.86","54,964.86","54,964.86"
03/07/2025,"56,566.27","56,566.27","56,566.27","56,566.27"
03/06/2025,"56,291.99","56,291.99","56,291.99","56,291.99"
03/05/2025,"57,390.68","57,390.68","57,390.68","57,390.68"
03/04/2025,"56,727.79","56,727.79","56,727.79","56,727.79"
03/03/2025,"57,447.94","57,447.94","57,447.94","57,447.94"
02/28/2025,"58,541.45","58,541.45","58,541.45","58,541.45"
02/27/2025,"57,645.22","57,645.22","57,645.22","57,645.22"
02/26/2025,"58,561.68","58,561.68","58,561.68","58,561.68"
02/25/2025,"58,541.69","58,541.69","58,541.69","58,541.69"
02/24/2025,"58,835.28","58,835.28","58,835.28","58,835.28"
02/21/2025,"59,147.26","59,147.26","59,147.26","59,147.26"
02/20/2025,"60,303.41","60,303.41","60,303.41","60,303.41"
02/19/2025,"60,665.62","60,665.62","60,665.62","60,665.62"
02/18/2025,"60,606.60","60,606.60","60,606.60","60,606.60"
